Group,ID,Heart Rate,Mass Specific VO2
BF,cal19,149,29.05695424
BF,cal19,109.6,16.46855212
BF,cal19,148.2,30.01229899
BF,cal19,93.4,17.74971465
BF,cal19,121.6,18.33403295
BF,cal19,164,35.49157566
BF,cal19,137.2,25.16623394
BF,cal19,99.6,9.865349671
BF,cal19,154,29.60127114
BF,cal19,134.8,22.20033892
BF,cal19,142,28.34362102
BF,cal19,104.2,14.08709627
BF,cal19,84.75,9.667769051
BF,cal20,122,14.10893711
BF,cal20,155,28.63636295
BF,cal20,107.2,16.83688283
BF,cal20,131.6,23.08674068
BF,cal20,105.2,12.94827006
BF,cal20,190.8,34.73960854
BF,cal20,128.2,22.91822648
BF,cal20,166.6,31.40932996
BF,cal20,127.6,12.44259525
BF,cal20,163.6,27.01269551
BF,cal20,133.4,21.38043983
BF,cal20,185,31.3588668
BF,cal20,130.6,11.8591705
BF,cal21,96.8,12.78675144
BF,cal21,132,27.08735959
BF,cal21,104.4,20.70462648
BF,cal21,126.8,26.3400286
BF,cal21,98.6,16.08125002
BF,cal21,106.6,19.12372218
BF,cal21,114.8,23.0697702
BF,cal21,130,28.46009476
BF,cal21,94.4,12.14374071
BF,cal21,121.2,27.07085831
BF,cal21,107.2,19.76993872
BF,cal21,97.4,14.12453559
BF,cal26,103.6,14.29650233
BF,cal26,150.4,27.72633567
BF,cal26,139.8,19.42880646
BF,cal26,160.2,36.06959592
BF,cal26,99,14.58353615
BF,cal26,100.6,18.2598552
BF,cal26,140.2,28.82134757
BF,cal26,110.2,12.39373849
BF,cal26,100,20.20598109
BF,cal26,125.8,20.69529127
BF,cal26,155.6,30.47492989
BF,cal26,126.4,20.0989366
BF,cal26,96.6,13.11780402
BF,cal27,124.8,15.51683318
BF,cal27,151.2,30.94177697
BF,cal27,152.8,35.48099041
BF,cal27,124.4,26.63629669
BF,cal27,119.2,14.37062415
BF,cal27,127.6,27.15616325
BF,cal27,128,28.8449868
BF,cal27,108.8,20.10482713
BF,cal27,89.4,12.58375878
BF,cal27,112.2,20.81354187
BF,cal27,121.4,26.57145535
BF,cal27,112.4,22.87453393
BF,cal27,94.8,10.16485531
MF,N05,156,12.72004653
MF,N05,202.2,25.42851984
MF,N05,176.4,23.02161076
MF,N05,163.4,20.39637449
MF,N05,157.2,12.4899081
MF,N05,169.2,25.50752263
MF,N05,150.2,17.98176133
MF,N05,205.2,29.62978002
MF,N05,143,12.48818233
MF,N05,188.2,27.59152643
MF,N05,145.2,18.02446245
MF,N05,208,31.24065532
MF,N05,129.8,11.6340773
MF,N07,85,11.41230792
MF,N07,121.2,26.67307317
MF,N07,104.2,22.62650547
MF,N07,140.8,33.5925806
MF,N07,95.6,11.686069
MF,N07,124.6,26.90537947
MF,N07,94,18.32037597
MF,N07,124.8,27.86571468
MF,N07,103.6,11.55187736
MF,N07,113,21.12259375
MF,N07,91.2,15.42632196
MF,N07,101.2,13.08730973
MF,X02,187.4,17.34596145
MF,X02,206.4,28.4453182
MF,X02,199.6,28.1430444
MF,X02,171.4,19.51107952
MF,X02,164.4,17.42508149
MF,X02,213.4,34.54607706
MF,X02,179.2,19.2557697
MF,X02,191.4,23.63669067
MF,X02,173.6,16.08206601
MF,X02,184,20.8070367
MF,X02,216.4,29.21882802
MF,X02,180.8,17.75396279
MF,X02,166.6,15.41026633
MF,N09,147,14.67526091
MF,N09,167.4,28.18853359
MF,N09,194.6,32.28375803
MF,N09,154.4,18.13626818
MF,N09,171.8,14.55380058
MF,N09,194.8,33.27575
MF,N09,158,23.44377131
MF,N09,152.8,21.25479494
MF,N09,163.8,13.56245928
MF,N09,171.4,28.73692437
MF,N09,144.2,13.9474528
MF,N09,165.5,9.613237407
MF,H83,115.2,11.94034273
MF,H83,177.2,30.30745804
MF,H83,144.2,21.98898595
MF,H83,194.2,33.64921044
MF,H83,128.4,12.73974599
MF,H83,179.2,29.78930224
MF,H83,133.8,18.86898381
MF,H83,142.4,22.61945622
MF,H83,120.8,13.64169686
MF,H83,168,28.21377562
MF,H83,193.4,33.66060071
MF,H83,131.6,18.72761731
MF,H83,111.6,14.35254014
MF,C13,117.2,9.509379454
MF,C13,181.2,27.25226181
MF,C13,140,17.0890234
MF,C13,213.2,30.31557504
MF,C13,121.2,11.67939781
MF,C13,148.4,21.66928967
MF,C13,137.2,18.66555194
MF,C13,187.2,28.74668644
MF,C13,117,12.43013892
MF,C13,181.4,30.14834429
MF,C13,207.6,35.43819273
MF,C13,157.8,24.03653664
MF,C13,111.4,12.49062181
